date;LY;REG1_Semaine;REG2_Semaine;REG2_Samedi;REG3_Lundi;REG3_Semaine;REG3_Samedi;REG5_Lundi;REG5_Mardi;REG5_Mercredi;REG5_Jeudi;REG5_Vendredi;REG6_Lundi;REG6_Mardi;REG6_Mercredi;REG6_Jeudi;REG6_Vendredi;REG6_Samedi
2011-04-01;1.9984E-15;-2.19419540889634;-0.190049272393718;0.801658454601047;-0.401520689466173;0.211471417072456;0.801658454601047;-0.802349916766697;-0.599170772699477;-0.599170772699477;-0.59433317403121;0.400829227300523;-0.401520689466173;-0.198341545398953;-0.198341545398953;-0.193503946730686;0.801658454601047;0.801658454601047
2011-05-01;6.66134E-16;9.9879086398206;16.4078433825496;2.5679738970916;4.17751132929326;12.2303320532563;2.5679738970916;2.89352438074746;2.2839869485458;1.2839869485458;2.24242341343574;1.2839869485458;4.17751132929326;3.5679738970916;2.5679738970916;3.52641036198154;2.5679738970916;2.5679738970916
2011-06-01;1.77636E-15;-3.50484023515954;-7.43686897455921;-1.57281149575987;-2.18234892796153;-5.25452004659768;-1.57281149575987;-1.39594318008159;-0.786405747879934;0.213594252120066;-0.749679811438144;-0.786405747879934;-2.18234892796153;-1.57281149575987;-0.572811495759868;-1.53608555931808;-1.57281149575987;-1.57281149575987
2011-07-01;8.88178E-16;-5;-5;0;-1;-4;0;-1;-1;-1;-2;0;-1;-1;-1;-2;0;0
2011-08-01;8.32667E-16;2;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;0
2011-09-01;1.77636E-15;2;2;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0
2011-10-01;8.88178E-16;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
2011-11-01;1.83187E-15;0;0;0;0;0;0;0;0;1;0;-1;0;0;1;0;-1;0
2011-12-01;8.88178E-16;2;7;2;1;6;2;0;0;0;1;1;1;1;1;2;2;2
2012-01-01;0;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
2012-02-01;0.757857143;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
2012-03-01;8.88178E-16;0.211127004235273;3.21907486440332;1.20317914406722;0.40635828813444;2.81271657626888;1.20317914406722;-0.19523128389917;-0.39841042796639;-0.39841042796639;0.60158957203361;0.60158957203361;0.40635828813444;0.20317914406722;0.20317914406722;1.20317914406722;1.20317914406722;1.20317914406722
