date,LY,REG1_Semaine,REG2_Semaine,REG2_Samedi,REG3_Lundi,REG3_Semaine,REG3_Samedi,REG5_Lundi,REG5_Mardi,REG5_Mercredi,REG5_Jeudi,REG5_Vendredi,REG6_Lundi,REG6_Mardi,REG6_Mercredi,REG6_Jeudi,REG6_Vendredi,REG6_Samedi
2006-01-01,-0.242142857142856,5.71112700423527,6.21907486440331,0.203179144067219,1.40635828813444,4.81271657626888,0.203179144067219,1.30476871610083,1.10158957203361,1.10158957203361,1.10158957203361,1.10158957203361,1.40635828813444,1.20317914406722,1.20317914406722,1.20317914406722,1.20317914406722,0.203179144067219
2006-04-01,4.66293670342566E-015,-2.71112700423528,-3.21907486440332,-0.203179144067221,-2.40635828813444,-0.812716576268883,-0.203179144067221,-2.30476871610083,-0.10158957203361,-0.10158957203361,-0.101589572033612,-0.10158957203361,-2.40635828813444,-0.203179144067221,-0.203179144067221,-0.203179144067223,-0.203179144067221,-0.203179144067221
2006-07-01,3.5527136788005E-015,-4.5,-2,1,0,-2,1,-0.5,-1.5,-0.5,-0.5,-1.5,0,-1,0,0,-1,1
2006-10-01,3.5527136788005E-015,-2,-7,-2,-2,-5,-2,-1,0,-1,0,0,-2,-1,-2,-1,-1,-2
2007-01-01,-0.242142857142856,2.21112700423527,5.21907486440331,1.20317914406722,0.40635828813444,4.81271657626888,1.20317914406722,-0.195231283899169,0.60158957203361,0.60158957203361,0.60158957203361,0.60158957203361,0.40635828813444,1.20317914406722,1.20317914406722,1.20317914406722,1.20317914406722,1.20317914406722
2007-04-01,4.55191440096314E-015,-2.71112700423528,-3.21907486440332,-0.203179144067221,-0.406358288134442,-2.81271657626889,-0.203179144067221,-0.304768716100831,-2.10158957203361,-0.10158957203361,-0.101589572033612,-0.10158957203361,-0.406358288134442,-2.20317914406722,-0.203179144067221,-0.203179144067223,-0.203179144067221,-0.203179144067221
2007-07-01,3.5527136788005E-015,-1,-6,-2,-1,-5,-2,0,0,-1,0,0,-1,-1,-2,-1,-1,-2
2007-10-01,3.83026943495679E-015,1.5,4,1,2,2,1,1.5,-0.5,0.5,-0.5,0.5,2,0,1,0,1,1
2008-01-01,0.757857142857145,-3.78887299576473,-5.78092513559669,-0.796820855932781,-1.59364171186556,-4.18728342373112,-0.796820855932781,-1.19523128389917,-1.39841042796639,-0.39841042796639,-0.39841042796639,-0.39841042796639,-1.59364171186556,-1.79682085593278,-0.796820855932781,-0.796820855932781,-0.796820855932781,-0.796820855932781
2008-04-01,4.44089209850063E-015,4.28887299576473,8.78092513559668,1.79682085593278,2.59364171186556,6.18728342373112,1.79682085593278,1.69523128389917,0.89841042796639,0.89841042796639,-0.101589572033612,0.89841042796639,2.59364171186556,1.79682085593278,1.79682085593278,0.796820855932777,1.79682085593278,1.79682085593278
2008-07-01,3.66373598126302E-015,-1,-1,0,-1,0,0,-1,1,0,0,-1,-1,1,0,0,-1,0
2008-10-01,3.66373598126302E-015,1.5,-1,-1,0,-1,-1,0.5,-0.5,1.5,-0.5,0.5,0,-1,1,-1,0,-1
2009-01-01,-0.242142857142856,-1.28887299576473,-0.780925135596689,0.203179144067219,0.40635828813444,-1.18728342373112,0.203179144067219,0.304768716100831,0.10158957203361,-0.89841042796639,-0.89841042796639,0.10158957203361,0.40635828813444,0.203179144067219,-0.796820855932781,-0.796820855932781,0.203179144067219,0.203179144067219
